F1 - Bug ID,C1 - Commit revision hash,C3 - # Files changed,XC1 - Files found / Files expected,XC2 - Files found,XC3 - Files not found,XC4 - Files expected,XC5 - Lines added,XC6 - Lines deleted,C4 - Commit file bugginess,C5 - Commit total line bugginess,C6 - Commit file line bugginess,C7 - Committer type,C1 - Commit hash
Elastic Search 1134,61ad8b614a94dabf8a263cf1edd35faa50ede36d,1.0,1/1,modules/elasticsearch/src/main/java/org/elasticsearch/common/network/NetworkService.java,,modules/elasticsearch/src/main/java/org/elasticsearch/common/network/NetworkService.java,1.0,1.0,1.0,1.0,0.01092896174863388,core,
Elastic Search 1134 - CG,10660d390d760cde78fb115107c04e1cf104a4da,1.0,0/0,,,,3.0,3.0,0.0,0.0,,core,
Elastic Search 1154,b3337c312765e51cec7bde5883bbc0a08f56fb65,1350.0,1/3,modules/elasticsearch/src/main/java/org/elasticsearch/action/search/SearchOperationThreading.java,"modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/search/RestSearchAction.java
modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/search/RestSearchScrollAction.java","modules/elasticsearch/src/main/java/org/elasticsearch/action/search/SearchOperationThreading.java
modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/search/RestSearchAction.java
modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/search/RestSearchScrollAction.java",182199.0,0.0,0.0007407407407407407,0.000406149320248739,1.0,core,
Elastic Search 1154 - CG,7a38e384c9ff783f17e9db92a730bdf654dbda6b,4.0,0/0,,,,37.0,12.0,0.0,0.0,,core,
Elastic Search 1162,d4547c629f53ad76ea463dc0acb1f26f0a2b784b,36.0,1/1,modules/elasticsearch/src/main/java/org/elasticsearch/cluster/metadata/MetaDataUpdateSettingsService.java,,modules/elasticsearch/src/main/java/org/elasticsearch/cluster/metadata/MetaDataUpdateSettingsService.java,769.0,193.0,0.027777777777777776,0.08731808731808732,0.9882352941176471,core,
Elastic Search 1162 - CG,e5b041c8efd408fdc71fd2f2c84439e5a4985244,12.0,0/0,,,,96.0,469.0,0.0,0.0,,core,
Elastic Search 12193,15a62448343fd24f8e63f43b1e4b16f50005e4a5,8676.0,1/1,core/pom.xml,,core/pom.xml,593192.0,654672.0,0.0001152604887044721,0.0009175679400960361,0.9991273996509599,core,
Elastic Search 12193 - CG,e88535a67e9594f3135465b5021ba9b502fef950,1.0,0/0,,,,1.0,1.0,0.0,0.0,,core,
Elastic Search 1380,adc3dc0e994ababa7917c81a61cc93f4690060d4,2.0,1/1,modules/elasticsearch/src/main/java/org/elasticsearch/search/highlight/HighlightPhase.java,,modules/elasticsearch/src/main/java/org/elasticsearch/search/highlight/HighlightPhase.java,73.0,7.0,0.5,0.2875,0.10043668122270742,core,
Elastic Search 1380 - CG,16a046f686c26309ee0041df8987a4d2ffedd956,2.0,0/0,,,,20.0,20.0,0.0,0.0,,core,
Elastic Search 14782,904cbf53409ae62bb67cd07c31ef88121cff9361,148.0,1/1,core/src/main/java/org/elasticsearch/index/mapper/MappedFieldType.java,,core/src/main/java/org/elasticsearch/index/mapper/MappedFieldType.java,838.0,1158.0,0.006756756756756757,0.006012024048096192,0.023952095808383235,core,
Elastic Search 14782 - CG,a75adaaaaaa632c036464da8fa24770796f77852,1.0,0/0,,,,1.0,1.0,0.0,0.0,,core,
Elastic Search 15858,0cde90fcb10c93c56d5f7d6c9228002ffdff1fec,7.0,1/1,modules/elasticsearch/src/main/java/org/elasticsearch/common/lucene/search/Queries.java,,core/src/main/java/org/elasticsearch/common/lucene/search/Queries.java,108.0,0.0,0.14285714285714285,0.5648148148148148,0.324468085106383,core,
Elastic Search 15858 - CG,4088236cf75b793c7a2a80f5f7be5b326b607378,1.0,0/0,,,,7.0,1.0,0.0,0.0,,core,
Elastic Search 16246,57d697125225d694376287eda7e644108ccbebda,19.0,1/1,plugins/ingest/src/main/java/org/elasticsearch/ingest/IngestDocument.java,,core/src/main/java/org/elasticsearch/ingest/core/IngestDocument.java,411.0,259.0,0.05263157894736842,0.29402985074626864,0.4078674948240166,core,
Elastic Search 16246 - CG,7caee2fa4d918d4c6978bcf986a158d03bf7db2a,6.0,0/0,,,,95.0,40.0,0.0,0.0,,core,
Elastic Search 1626,4180a7f73ab4d32f001a1d0bdc17aebd3073be76,5.0,3/3,"modules/elasticsearch/src/main/java/org/elasticsearch/cluster/routing/RoutingNode.java
modules/elasticsearch/src/main/java/org/elasticsearch/cluster/routing/RoutingNodes.java
modules/elasticsearch/src/main/java/org/elasticsearch/cluster/routing/allocation/AllocationService.java",,"src/main/java/org/elasticsearch/cluster/routing/RoutingNode.java
src/main/java/org/elasticsearch/cluster/routing/RoutingNodes.java
src/main/java/org/elasticsearch/cluster/routing/allocation/AllocationService.java",30.0,25.0,0.6,0.6909090909090909,0.048223350253807105,core,
Elastic Search 1626 - CG,1f30681a84fcafe9cf6e6b8a2801ea1791b9edc0,3.0,0/0,,,,100.0,2.0,0.0,0.0,,peripheral,
Elastic Search 16790,1e209e3802a693414a18bfddbb917044c50e5a6a,2.0,2/2,"distribution/src/main/resources/bin/plugin
distribution/src/main/resources/bin/plugin.bat",,"distribution/src/main/resources/bin/elasticsearch-plugin
distribution/src/main/resources/bin/elasticsearch-plugin.bat",2.0,2.0,1.0,1.0,0.028985507246376812,core,
Elastic Search 16790 - CG,093791e82dfe7c3e16ddb1f199fede2cf86b6797,3.0,0/0,,,,1.0,36.0,0.0,0.0,,core,
Elastic Search 1725,bd6b89f7cab39acf5cd2b3d5b33adbcddf69c0d1,35.0,1/2,modules/elasticsearch/src/main/java/org/apache/lucene/search/DeletionAwareConstantScoreQuery.java,"src/main/java/org/apache/lucene/search/DeletionAwareConstantScoreQuery.java
src/main/java/org/elasticsearch/common/lucene/search/NotDeletedFilter.java","src/main/java/org/apache/lucene/search/DeletionAwareConstantScoreQuery.java
src/main/java/org/elasticsearch/common/lucene/search/NotDeletedFilter.java",398.0,94.0,0.02857142857142857,0.46747967479674796,0.9956709956709957,core,
Elastic Search 1725 - CG,3d310406b71973e82f94f60b8dab0c90729a579a,1.0,0/0,,,,0.0,0.0,0.0,,,core,
Elastic Search 1814,14237317fce4e365aa2e0a88ef59bafd43e73e4e,11.0,1/1,modules/elasticsearch/src/main/java/org/elasticsearch/search/internal/InternalSearchHit.java,,src/main/java/org/elasticsearch/search/internal/InternalSearchHit.java,263.0,13.0,0.09090909090909091,0.057971014492753624,0.028985507246376812,core,
Elastic Search 1814 - CG,b31b0e979c616251ed75b18a87193bd76b75eff3,1.0,0/0,,,,2.0,2.0,0.0,0.0,,core,
Elastic Search 1948,3b967040da249ce58e848e7c00dad11b42eb3c9f,3.0,1/1,modules/elasticsearch/src/main/java/org/elasticsearch/index/percolator/PercolatorExecutor.java,,src/main/java/org/elasticsearch/index/percolator/PercolatorExecutor.java,18.0,45.0,0.3333333333333333,0.8571428571428571,0.12735849056603774,core,
Elastic Search 1948 - CG,8587f1611912c6633b72909939e91d226575dd90,1.0,0/0,,,,32.0,2.0,0.0,0.0,,core,
Elastic Search 1960,ebd6316db9be1ef69ddc0a929bb225ec6d9b7ed6,45.0,1/5,modules/elasticsearch/src/main/java/org/elasticsearch/cluster/metadata/IndexTemplateMetaData.java,"src/main/java/org/elasticsearch/cluster/metadata/IndexMetaData.java
src/main/java/org/elasticsearch/cluster/metadata/IndexTemplateMetaData.java
src/main/java/org/elasticsearch/cluster/metadata/MetaData.java
src/main/java/org/elasticsearch/common/settings/loader/SettingsLoader.java
src/main/java/org/elasticsearch/common/settings/loader/YamlSettingsLoader.java","src/main/java/org/elasticsearch/cluster/metadata/IndexMetaData.java
src/main/java/org/elasticsearch/cluster/metadata/IndexTemplateMetaData.java
src/main/java/org/elasticsearch/cluster/metadata/MetaData.java
src/main/java/org/elasticsearch/common/settings/loader/SettingsLoader.java
src/main/java/org/elasticsearch/common/settings/loader/YamlSettingsLoader.java",1941.0,292.0,0.022222222222222223,0.11867442901925661,0.9962406015037594,core,
Elastic Search 1960 - CG,103221e58a85dc5d133cc70af898102735c4375f,1.0,0/0,,,,1.0,1.0,0.0,0.0,,core,
Elastic Search 200,cb0d7d4735665fa8ca1b59555a06354859c0045a,44.0,3/3,"modules/elasticsearch/src/main/java/org/elasticsearch/discovery/zen/ZenDiscovery.java
modules/elasticsearch/src/main/java/org/elasticsearch/discovery/zen/fd/MasterFaultDetection.java
modules/elasticsearch/src/main/java/org/elasticsearch/discovery/zen/fd/NodesFaultDetection.java",,"modules/elasticsearch/src/main/java/org/elasticsearch/discovery/zen/ZenDiscovery.java
modules/elasticsearch/src/main/java/org/elasticsearch/discovery/zen/fd/MasterFaultDetection.java
modules/elasticsearch/src/main/java/org/elasticsearch/discovery/zen/fd/NodesFaultDetection.java",2667.0,332.0,0.06818181818181818,0.32810936978993,0.9969604863221885,core,
Elastic Search 200 - CG,2ea7423f3ac68578a81d92f50b6484cf1db2203d,1.0,0/0,,,,2.0,1.0,0.0,0.0,,core,
Elastic Search 2566,2442e1fb162a224ab46c4adb40a74b278e3c51e1,17.0,1/1,modules/elasticsearch/src/main/java/org/apache/lucene/queryParser/MapperQueryParser.java,,src/main/java/org/apache/lucene/queryparser/classic/MapperQueryParser.java,451.0,240.0,0.058823529411764705,0.04052098408104197,0.14358974358974358,core,
Elastic Search 2566 - CG,aa68667d636d61b0cc67810e1e2489d1246e9af6,10.0,0/0,,,,304.0,4.0,0.0,0.0,,core,
Elastic Search 2608,167d35807c5ce4b8e10228180dcf58b14f3ce826,8.0,1/1,modules/elasticsearch/src/main/java/org/elasticsearch/index/query/xcontent/TermsQueryParser.java,,src/main/java/org/elasticsearch/index/query/TermsQueryParser.java,429.0,43.0,0.125,0.20127118644067796,0.7661290322580645,core,
Elastic Search 2608 - CG,8285ffe22175bf4592e79bb881a6451741ccdac8,7.0,0/0,,,,12.0,10.0,0.0,0.0,,core,
Elastic Search 2991,7397007e05ed361805ecc3c2752e1472062c918f,52.0,1/1,src/main/java/org/elasticsearch/index/fielddata/fieldcomparator/BytesRefOrdValComparator.java,,src/main/java/org/elasticsearch/index/fielddata/fieldcomparator/BytesRefOrdValComparator.java,10294.0,0.0,0.019230769230769232,0.04614338449582281,0.9978991596638656,core,
Elastic Search 2991 - CG,bc20f068c9c62b69260f3b24adaaf9fb3ff3d371,2.0,0/0,,,,45.0,10.0,0.0,0.0,,core,
Elastic Search 3242,05e0b4d4e0226592e741166b0d3fa271725df2f3,10.0,1/1,src/main/java/org/elasticsearch/index/search/shape/ShapeFetchService.java,,src/main/java/org/elasticsearch/index/search/shape/ShapeFetchService.java,413.0,13.0,0.1,0.20187793427230047,0.9885057471264368,core,
Elastic Search 3242 - CG,4f5e62e9882b36271280ad4e47e61aba2d7669f1,4.0,0/0,,,,203.0,10.0,0.0,0.0,,peripheral,
Elastic Search 3267,9bf686ef624246c3b9e1e66242ad2f8d189bb94b,24.0,1/1,modules/elasticsearch/src/main/java/org/elasticsearch/action/get/TransportMultiGetAction.java,,src/main/java/org/elasticsearch/action/get/TransportMultiGetAction.java,1549.0,49.0,0.041666666666666664,0.08886107634543179,1.0,core,
Elastic Search 3267 - CG,567cf6b5c3bbc4486b0472c8abe588ab6215637c,1.0,0/0,,,,5.0,0.0,0.0,0.0,,core,
Elastic Search 3560,4930b93c26506e8f063a3b817f0434bd17fca14c,45.0,1/1,src/main/java/org/elasticsearch/action/admin/cluster/settings/TransportClusterUpdateSettingsAction.java,,src/main/java/org/elasticsearch/action/admin/cluster/settings/TransportClusterUpdateSettingsAction.java,757.0,936.0,0.022222222222222223,0.08564678086237448,0.7631578947368421,core,
Elastic Search 3560 - CG,a235a5594338789a448742fce19549206dd5b30c,11.0,0/0,,,,312.0,158.0,0.0,0.0,,core,
Elastic Search 4581,f444ed4dff95fe49d2a11f8eac287e48c563ce9c,7.0,1/1,src/main/java/org/elasticsearch/index/mapper/internal/AllFieldMapper.java,,src/main/java/org/elasticsearch/index/mapper/internal/AllFieldMapper.java,73.0,60.0,0.14285714285714285,0.518796992481203,0.23232323232323232,core,
Elastic Search 4581 - CG,22722840d4331a83fcfdd8edea22d372feba16ab,1.0,0/0,,,,3.0,3.0,0.0,0.0,,peripheral,
Elastic Search 4814,4271d573d60f39564c458e2d3fb7c14afb82d4d8,69.0,1/1,src/main/java/org/elasticsearch/search/aggregations/bucket/BytesRefHash.java,,src/main/java/org/elasticsearch/search/aggregations/bucket/BytesRefHash.java,1915.0,527.0,0.014492753623188406,0.06961506961506962,0.9941520467836257,core,
Elastic Search 4814 - CG,3f1472505723866794d875c00bde575d988e120d,2.0,0/0,,,,6.0,4.0,0.0,0.0,,core,
Elastic Search 5021,c7f6c5266d15fefa1a5ce9ae7ffc519c5ff8abbe,246.0,2/3,"src/main/java/org/elasticsearch/search/aggregations/bucket/terms/StringTerms.java
src/main/java/org/elasticsearch/search/aggregations/bucket/terms/StringTermsAggregator.java",src/main/java/org/elasticsearch/search/aggregations/bucket/BytesRefHash.java,"src/main/java/org/elasticsearch/search/aggregations/bucket/BytesRefHash.java
src/main/java/org/elasticsearch/search/aggregations/bucket/terms/StringTerms.java
src/main/java/org/elasticsearch/search/aggregations/bucket/terms/StringTermsAggregator.java",26824.0,1518.0,0.008130081300813009,0.00935008115164773,0.9925093632958801,peripheral,
Elastic Search 5021 - CG,07443089ce761cdfcf9206ad179381db7249d01a,1.0,0/0,,,,24.0,12.0,0.0,0.0,,core,
Elastic Search 5048,c7f6c5266d15fefa1a5ce9ae7ffc519c5ff8abbe,246.0,1/1,src/main/java/org/elasticsearch/search/aggregations/AggregatorFactories.java,,src/main/java/org/elasticsearch/search/aggregations/AggregatorFactories.java,26824.0,1518.0,0.0040650406504065045,0.006209865217698116,0.9943502824858758,peripheral,
Elastic Search 5048 - CG,e7e1667a26de5472e3419c586682b92c37c6e7d3,4.0,0/0,,,,10.0,1.0,0.0,0.0,,core,
Elastic Search 5165,3ca0239668187c535f36a5da6473d73315f42679,17.0,2/2,"src/main/java/org/elasticsearch/search/SearchService.java
src/main/java/org/elasticsearch/search/internal/DefaultSearchContext.java",,"src/main/java/org/elasticsearch/search/SearchService.java
src/main/java/org/elasticsearch/search/internal/DefaultSearchContext.java",1310.0,673.0,0.11764705882352941,0.019162884518406455,0.028189910979228485,core,
Elastic Search 5165 - CG,459d59a04ad4eb1671bac50a6faf3a7ad372d0e4,2.0,0/0,,,,25.0,5.0,0.0,0.0,,core,
Elastic Search 5948,b35ca1aa751efc551f2e33b9d21be27b5e8dd324,1.0,1/1,src/main/java/org/elasticsearch/rest/action/cat/RestAllocationAction.java,,src/main/java/org/elasticsearch/rest/action/cat/RestAllocationAction.java,10.0,17.0,1.0,1.0,0.14285714285714285,core,
Elastic Search 5948 - CG,8561f897a984807958a543e378ab01349935a739,2.0,0/0,,,,5.0,4.0,0.0,0.0,,core,
Elastic Search 7623,575250e223c31218b13e927e914925299594973d,6.0,4/5,"modules/elasticsearch/src/main/java/org/elasticsearch/action/search/type/TransportSearchDfsQueryAndFetchAction.java
modules/elasticsearch/src/main/java/org/elasticsearch/action/search/type/TransportSearchDfsQueryThenFetchAction.java
modules/elasticsearch/src/main/java/org/elasticsearch/action/search/type/TransportSearchQueryAndFetchAction.java
modules/elasticsearch/src/main/java/org/elasticsearch/action/search/type/TransportSearchQueryThenFetchAction.java","src/main/java/org/elasticsearch/action/search/type/TransportSearchDfsQueryAndFetchAction.java
src/main/java/org/elasticsearch/action/search/type/TransportSearchDfsQueryThenFetchAction.java
src/main/java/org/elasticsearch/action/search/type/TransportSearchQueryAndFetchAction.java
src/main/java/org/elasticsearch/action/search/type/TransportSearchQueryThenFetchAction.java
src/main/java/org/elasticsearch/threadpool/ThreadPool.java","src/main/java/org/elasticsearch/action/search/type/TransportSearchDfsQueryAndFetchAction.java
src/main/java/org/elasticsearch/action/search/type/TransportSearchDfsQueryThenFetchAction.java
src/main/java/org/elasticsearch/action/search/type/TransportSearchQueryAndFetchAction.java
src/main/java/org/elasticsearch/action/search/type/TransportSearchQueryThenFetchAction.java
src/main/java/org/elasticsearch/threadpool/ThreadPool.java",100.0,18.0,0.6666666666666666,0.5338983050847458,0.08525033829499323,core,
Elastic Search 7623 - CG,ef85412f98e97ff5471013eab59fd8cb3046c17a,1.0,0/0,,,,3.0,3.0,0.0,0.0,,core,
Elastic Search 764,4c34840627768d1564dd2a73308f8333f7cc6a03,2.0,1/1,modules/elasticsearch/src/main/java/org/elasticsearch/index/mapper/xcontent/XContentDynamicTemplate.java,,modules/elasticsearch/src/main/java/org/elasticsearch/index/mapper/xcontent/DynamicTemplate.java,66.0,2.0,0.5,0.5588235294117647,0.20430107526881722,core,
Elastic Search 764 - CG,7180636df6dfe6b18bf738ee2285549ea95a8cb9,6.0,0/0,,,,24.0,1.0,0.0,0.0,,core,
Elastic Search 7686,c3f3c268c8854175a7f0d4cca3ad5fb6901f6e35,9.0,1/1,modules/elasticsearch/src/main/java/org/elasticsearch/index/query/xcontent/IdsQueryParser.java,,src/main/java/org/elasticsearch/index/query/IdsQueryParser.java,500.0,0.0,0.1111111111111111,0.192,0.9896907216494846,core,
Elastic Search 7686 - CG,90a339ad5e4a61e750d0342be6326de46f45bedc,9.0,0/0,,,,231.0,363.0,0.0,0.0,,core,
