Bug_ID	Project	Notes	Duplicate_Bug_IDs	BIC	BFC	BIC_CodeReview	BIC_IntroducingIssue	BIC_Files	BIC_Files_ManualMatch	BIC_BUG_ML	BIC_II_ML	BIC_OtherIssues	CGC	CG_CodeReview	CG_IntroducingIssue	CG_OtherIssues	CG_II_ML
Elastic Search 1134	elasticsearch		[]	61ad8b614a94dabf8a263cf1edd35faa50ede36d	cbb1c35f94a36e8871301fce435d516db3cd4256	[]	[1104]	[ modules/elasticsearch/src/main/java/org/elasticsearch/common/network/NetworkService.java ]	{}	[]	[]	[]	10660d390d760cde78fb115107c04e1cf104a4da	[]	[]	[]	[]
Elastic Search 1154	elasticsearch		[]	b3337c312765e51cec7bde5883bbc0a08f56fb65	31ea01bbc68f64cd7787b97479cb5deba1b529b9	[]	[]	[ modules/elasticsearch/src/main/java/org/elasticsearch/action/search/SearchOperationThreading.java, modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/search/RestSearchAction.java, modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/search/RestSearchScrollAction.java ]	{ "modules/elasticsearch/src/main/java/org/elasticsearch/action/search/SearchOperationThreading.java": "modules/elasticsearch/src/main/java/org/elasticsearch/action/search/SearchOperationThreading.java", "modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/search/RestSearchAction.java": null, "modules/elasticsearch/src/main/java/org/elasticsearch/rest/action/search/RestSearchScrollAction.java": null }	[]	[]	[]	7a38e384c9ff783f17e9db92a730bdf654dbda6b	[]	[]	[]	[]
Elastic Search 1162	elasticsearch		[]	d4547c629f53ad76ea463dc0acb1f26f0a2b784b	b70694ce631d7b55be6edd7b9049237456a6e4b4	[]	[]	[ modules/elasticsearch/src/main/java/org/elasticsearch/cluster/metadata/MetaDataUpdateSettingsService.java ]	{}	[]	[]	[]	e5b041c8efd408fdc71fd2f2c84439e5a4985244	[]	[]	[]	[]
Elastic Search 12193	elasticsearch		[]	15a62448343fd24f8e63f43b1e4b16f50005e4a5	2ea45fd753b89c12431dab08c4827835c616cc1b	[]	[]	[ core/pom.xml ]	{}	[]	[]	[]	e88535a67e9594f3135465b5021ba9b502fef950	[]	[]	[]	[]
Elastic Search 1380	elasticsearch		[]	adc3dc0e994ababa7917c81a61cc93f4690060d4	bd87f8de3ac84eb408d5ada0976664545c9228a0	[]	[873]	[ modules/elasticsearch/src/main/java/org/elasticsearch/search/highlight/HighlightPhase.java ]	{}	[]	[]	[]	16a046f686c26309ee0041df8987a4d2ffedd956	[]	[]	[]	[]
Elastic Search 14782	elasticsearch	10217 is a issue related to the BIC	[]	904cbf53409ae62bb67cd07c31ef88121cff9361	9e4a0cba0b6a9a936b6e2ff1579f864b84b8bc26	[13788, 12943, 12694, 12527]	[12527]	[ core/src/main/java/org/elasticsearch/index/mapper/MappedFieldType.java ]	{}	[]	[]	[10217]	a75adaaaaaa632c036464da8fa24770796f77852	[]	[]	[]	[]
Elastic Search 15858	elasticsearch		[]	0cde90fcb10c93c56d5f7d6c9228002ffdff1fec	12df1e7a6f096e22009f057359cb49e943af4943	[]	[1420]	[ core/src/main/java/org/elasticsearch/common/lucene/search/Queries.java ]	{ "core/src/main/java/org/elasticsearch/common/lucene/search/Queries.java": "modules/elasticsearch/src/main/java/org/elasticsearch/common/lucene/search/Queries.java" }	[]	[]	[]	4088236cf75b793c7a2a80f5f7be5b326b607378	[1258]	[1368]	[]	[]
Elastic Search 16246	elasticsearch		[]	57d697125225d694376287eda7e644108ccbebda	15567506b28cbd4d16cea8cc5d57b4d1cdfb59d8	[15283, 15564, 16049]	[15036]	[ core/src/main/java/org/elasticsearch/ingest/core/IngestDocument.java ]	{ "core/src/main/java/org/elasticsearch/ingest/core/IngestDocument.java": "plugins/ingest/src/main/java/org/elasticsearch/ingest/IngestDocument.java" }	[]	[]	[]	7caee2fa4d918d4c6978bcf986a158d03bf7db2a	[14899, 15336]	[]	[]	[]
Elastic Search 1626	elasticsearch		[]	4180a7f73ab4d32f001a1d0bdc17aebd3073be76	a1a30226caaef4667cb7d85a4702ecf6a6bb0703	[]	[]	[ src/main/java/org/elasticsearch/cluster/routing/RoutingNode.java,  src/main/java/org/elasticsearch/cluster/routing/RoutingNodes.java, Src/main/java/org/elasticsearch/cluster/routing/allocation/AllocationService.java ]	{ "src/main/java/org/elasticsearch/cluster/routing/RoutingNode.java": "modules/elasticsearch/src/main/java/org/elasticsearch/cluster/routing/RoutingNode.java", "src/main/java/org/elasticsearch/cluster/routing/RoutingNodes.java": "modules/elasticsearch/src/main/java/org/elasticsearch/cluster/routing/RoutingNodes.java", "src/main/java/org/elasticsearch/cluster/routing/allocation/AllocationService.java": "modules/elasticsearch/src/main/java/org/elasticsearch/cluster/routing/allocation/AllocationService.java" }	[]	[]	[]	1f30681a84fcafe9cf6e6b8a2801ea1791b9edc0	[]	[]	[]	[]
Elastic Search 16790	elasticsearch		[]	1e209e3802a693414a18bfddbb917044c50e5a6a	4c6cf7ee88bc75a161e3752014071d4f9ab8d8d5	[12801]	[12479]	[ distribution/src/main/resources/bin/elasticsearch-plugin, distribution/src/main/resources/bin/elasticsearch-plugin.bat ]	{ "distribution/src/main/resources/bin/elasticsearch-plugin": "distribution/src/main/resources/bin/plugin", "distribution/src/main/resources/bin/elasticsearch-plugin.bat": "distribution/src/main/resources/bin/plugin.bat" }	[]	[]	[]	093791e82dfe7c3e16ddb1f199fede2cf86b6797	[13704]	[]	[]	[]
Elastic Search 1725	elasticsearch		[]	bd6b89f7cab39acf5cd2b3d5b33adbcddf69c0d1	31b793591ea4dd4c60088d9185fb66a3f7ae293e	[]	[181]	[ src/main/java/org/apache/lucene/search/DeletionAwareConstantScoreQuery.java, src/main/java/org/elasticsearch/common/lucene/search/NotDeletedFilter.java ]	{ "src/main/java/org/apache/lucene/search/DeletionAwareConstantScoreQuery.java": "modules/elasticsearch/src/main/java/org/apache/lucene/search/DeletionAwareConstantScoreQuery.java", "src/main/java/org/elasticsearch/common/lucene/search/NotDeletedFilter.java": "modules/elasticsearch/src/main/java/org/apache/lucene/search/DeletionAwareConstantScoreQuery.java" }	[]	[]	[]	3d310406b71973e82f94f60b8dab0c90729a579a	[]	[]	[]	[]
Elastic Search 1814	elasticsearch		[]	14237317fce4e365aa2e0a88ef59bafd43e73e4e	a76d914cfa4c4ff2a866b8f1539c5cb3ef48afbb	[]	[]	[ src/main/java/org/elasticsearch/search/internal/InternalSearchHit.java ]	{ "src/main/java/org/elasticsearch/search/internal/InternalSearchHit.java": "modules/elasticsearch/src/main/java/org/elasticsearch/search/internal/InternalSearchHit.java" }	[]	[]	[]	b31b0e979c616251ed75b18a87193bd76b75eff3	[]	[362]	[]	[]
Elastic Search 1948	elasticsearch		[]	3b967040da249ce58e848e7c00dad11b42eb3c9f	0c732b8bf30e8cd68a6b00cac7ff156c3d19ade1	[]	[725]	[ src/main/java/org/elasticsearch/index/percolator/PercolatorExecutor.java ]	{ "src/main/java/org/elasticsearch/index/percolator/PercolatorExecutor.java": "modules/elasticsearch/src/main/java/org/elasticsearch/index/percolator/PercolatorExecutor.java" }	[]	[]	[]	8587f1611912c6633b72909939e91d226575dd90	[639]	[]	[]	[]
Elastic Search 1960	elasticsearch		[]	ebd6316db9be1ef69ddc0a929bb225ec6d9b7ed6	be01e8fe19c822fe30ba1cff4d9e96c3f567e4c7	[]	[540]	[ src/main/java/org/elasticsearch/cluster/metadata/IndexMetaData.java, src/main/java/org/elasticsearch/cluster/metadata/IndexTemplateMetaData.java, src/main/java/org/elasticsearch/cluster/metadata/MetaData.java, src/main/java/org/elasticsearch/common/settings/loader/SettingsLoader.java, src/main/java/org/elasticsearch/common/settings/loader/YamlSettingsLoader.java ]	{ "src/main/java/org/elasticsearch/cluster/metadata/IndexMetaData.java": "src/main/java/org/elasticsearch/cluster/metadata/IndexMetaData.java", "src/main/java/org/elasticsearch/cluster/metadata/IndexTemplateMetaData.java": "src/main/java/org/elasticsearch/cluster/metadata/IndexTemplateMetaData.java", "src/main/java/org/elasticsearch/cluster/metadata/MetaData.java": "src/main/java/org/elasticsearch/cluster/metadata/MetaData.java", "src/main/java/org/elasticsearch/common/settings/loader/SettingsLoader.java": "modules/elasticsearch/src/main/java/org/elasticsearch/cluster/metadata/IndexTemplateMetaData.java", "src/main/java/org/elasticsearch/common/settings/loader/YamlSettingsLoader.java": "modules/elasticsearch/src/main/java/org/elasticsearch/cluster/metadata/IndexTemplateMetaData.java" }	[]	[]	[]	103221e58a85dc5d133cc70af898102735c4375f	[]	[]	[]	[]
Elastic Search 200	elasticsearch		[]	cb0d7d4735665fa8ca1b59555a06354859c0045a	a7ad295f63aaf3b6073cbbe6d0ca684031b84aab	[]	[]	[ modules/elasticsearch/src/main/java/org/elasticsearch/discovery/zen/ZenDiscovery.java, modules/elasticsearch/src/main/java/org/elasticsearch/discovery/zen/fd/MasterFaultDetection.java, modules/elasticsearch/src/main/java/org/elasticsearch/discovery/zen/fd/NodesFaultDetection.java ]	{}	[]	[]	[]	2ea7423f3ac68578a81d92f50b6484cf1db2203d	[]	[]	[]	[]
Elastic Search 2566	elasticsearch		[]	2442e1fb162a224ab46c4adb40a74b278e3c51e1	d6b613ac8c6e3ddee6d8e1604db208721f03cb75	[]	[]	[ src/main/java/org/apache/lucene/queryparser/classic/MapperQueryParser.java ]	{ "src/main/java/org/apache/lucene/queryparser/classic/MapperQueryParser.java": "modules/elasticsearch/src/main/java/org/apache/lucene/queryParser/MapperQueryParser.java" }	[]	[]	[]	aa68667d636d61b0cc67810e1e2489d1246e9af6	[]	[]	[]	[]
Elastic Search 2608	elasticsearch		[]	167d35807c5ce4b8e10228180dcf58b14f3ce826	20ce01bd53cc3f0d6bcb52554f89fb98ce00bd4c	[]	[557]	[ src/main/java/org/elasticsearch/index/query/TermsQueryParser.java ]	{ "src/main/java/org/elasticsearch/index/query/TermsQueryParser.java": "modules/elasticsearch/src/main/java/org/elasticsearch/index/query/xcontent/TermsQueryParser.java" }	[]	[]	[]	8285ffe22175bf4592e79bb881a6451741ccdac8	[]	[]	[]	[]
Elastic Search 2991	elasticsearch		[]	7397007e05ed361805ecc3c2752e1472062c918f	29da615afd83d198911f839565257dd03c7fcf39	[]	[]	[ src/main/java/org/elasticsearch/index/fielddata/fieldcomparator/BytesRefOrdValComparator.java ]	{}	[]	[]	[]	bc20f068c9c62b69260f3b24adaaf9fb3ff3d371	[]	[2604]	[]	[]
Elastic Search 3242	elasticsearch		[]	05e0b4d4e0226592e741166b0d3fa271725df2f3	42b3f06a32844ade7fdf21e48f5e7e5800c31670	[1065]	[]	[ src/main/java/org/elasticsearch/index/search/shape/ShapeFetchService.java ]	{}	[]	[]	[]	4f5e62e9882b36271280ad4e47e61aba2d7669f1	[1065]	[]	[]	[]
Elastic Search 3267	elasticsearch		[]	9bf686ef624246c3b9e1e66242ad2f8d189bb94b	7790d2bf6578825924446013caba183fae6ba92b	[]	[1068]	[ src/main/java/org/elasticsearch/action/get/TransportMultiGetAction.java ]	{ "src/main/java/org/elasticsearch/action/get/TransportMultiGetAction.java": "modules/elasticsearch/src/main/java/org/elasticsearch/action/get/TransportMultiGetAction.java" }	[]	[]	[]	567cf6b5c3bbc4486b0472c8abe588ab6215637c	[]	[]	[]	[]
Elastic Search 3560	elasticsearch		[]	4930b93c26506e8f063a3b817f0434bd17fca14c	109e2944f2e0cfea948ee77aabb7a022e0146ada	[]	[]	[ src/main/java/org/elasticsearch/action/admin/cluster/settings/TransportClusterUpdateSettingsAction.java ]	{}	[]	[]	[]	a235a5594338789a448742fce19549206dd5b30c	[]	[3410]	[]	[]
Elastic Search 4581	elasticsearch		[]	f444ed4dff95fe49d2a11f8eac287e48c563ce9c	beaa9153a629c0950182e4e8c4f8eedd1c63f49f	[]	[]	[ src/main/java/org/elasticsearch/index/mapper/internal/AllFieldMapper.java ]	{}	[]	[]	[]	22722840d4331a83fcfdd8edea22d372feba16ab	[]	[]	[]	[]
Elastic Search 4814	elasticsearch		[]	4271d573d60f39564c458e2d3fb7c14afb82d4d8	af1513f908d47445a6156573a53c5ad4f463175c	[]	[4557]	[ src/main/java/org/elasticsearch/search/aggregations/bucket/BytesRefHash.java ]	{}	[]	[]	[]	3f1472505723866794d875c00bde575d988e120d	[]	[4782]	[]	[]
Elastic Search 5021	elasticsearch		[]	c7f6c5266d15fefa1a5ce9ae7ffc519c5ff8abbe	e1c11209496173874c2f632028e7d028e730b7e2	[]	[3300]	[ src/main/java/org/elasticsearch/search/aggregations/bucket/BytesRefHash.java, src/main/java/org/elasticsearch/search/aggregations/bucket/terms/StringTerms.java, src/main/java/org/elasticsearch/search/aggregations/bucket/terms/StringTermsAggregator.java ]	{ "src/main/java/org/elasticsearch/search/aggregations/bucket/terms/StringTerms.java": "src/main/java/org/elasticsearch/search/aggregations/bucket/terms/StringTerms.java",  "src/main/java/org/elasticsearch/search/aggregations/bucket/terms/StringTermsAggregator.java": "src/main/java/org/elasticsearch/search/aggregations/bucket/terms/StringTermsAggregator.java", "src/main/java/org/elasticsearch/search/aggregations/bucket/BytesRefHash.java": null }	[]	[]	[]	07443089ce761cdfcf9206ad179381db7249d01a	[]	[]	[]	[]
Elastic Search 5048	elasticsearch		[]	c7f6c5266d15fefa1a5ce9ae7ffc519c5ff8abbe	610694446a2eff51b0550689d7da5988bb6e2f2a	[]	[3300]	[ src/main/java/org/elasticsearch/search/aggregations/AggregatorFactories.java ]	{}	[]	[]	[]	e7e1667a26de5472e3419c586682b92c37c6e7d3	[]	[4508]	[]	[]
Elastic Search 5165	elasticsearch		[]	3ca0239668187c535f36a5da6473d73315f42679	3dec916ef2eb2bdff819969cb3419a126244d72a	[]	[3574]	[ src/main/java/org/elasticsearch/search/SearchService.java, src/main/java/org/elasticsearch/search/internal/DefaultSearchContext.java ]	{}	[]	[]	[]	459d59a04ad4eb1671bac50a6faf3a7ad372d0e4	[]	[]	[]	[]
Elastic Search 5948	elasticsearch		[]	b35ca1aa751efc551f2e33b9d21be27b5e8dd324	aa4dc092da38b2e5b747f74e81699494333d7bca	[]	[4670]	[ src/main/java/org/elasticsearch/rest/action/cat/RestAllocationAction.java ]	{}	[]	[]	[]	8561f897a984807958a543e378ab01349935a739	[]	[]	[]	[]
Elastic Search 7623	elasticsearch		[]	575250e223c31218b13e927e914925299594973d	cb9cf948dfaf8c91625dca9f436feacdc5c2deb9	[]	[]	[ src/main/java/org/elasticsearch/action/search/type/TransportSearchDfsQueryAndFetchAction.java, src/main/java/org/elasticsearch/action/search/type/TransportSearchDfsQueryThenFetchAction.java, src/main/java/org/elasticsearch/action/search/type/TransportSearchQueryAndFetchAction.java, src/main/java/org/elasticsearch/action/search/type/TransportSearchQueryThenFetchAction.java, src/main/java/org/elasticsearch/threadpool/ThreadPool.java ]	{ "src/main/java/org/elasticsearch/action/search/type/TransportSearchDfsQueryAndFetchAction.java": "modules/elasticsearch/src/main/java/org/elasticsearch/action/search/type/TransportSearchDfsQueryAndFetchAction.java", "src/main/java/org/elasticsearch/action/search/type/TransportSearchDfsQueryThenFetchAction.java": "modules/elasticsearch/src/main/java/org/elasticsearch/action/search/type/TransportSearchDfsQueryThenFetchAction.java", "src/main/java/org/elasticsearch/action/search/type/TransportSearchQueryAndFetchAction.java": "modules/elasticsearch/src/main/java/org/elasticsearch/action/search/type/TransportSearchQueryAndFetchAction.java", "src/main/java/org/elasticsearch/action/search/type/TransportSearchQueryThenFetchAction.java": "modules/elasticsearch/src/main/java/org/elasticsearch/action/search/type/TransportSearchQueryThenFetchAction.java", "src/main/java/org/elasticsearch/threadpool/ThreadPool.java": null }	[]	[]	[]	ef85412f98e97ff5471013eab59fd8cb3046c17a	[]	[]	[]	[]
Elastic Search 764	elasticsearch		[]	4c34840627768d1564dd2a73308f8333f7cc6a03	2a0e0b767ad4275dabd7abf4625b6ad5f8a8757	[]	[]	[ modules/elasticsearch/src/main/java/org/elasticsearch/index/mapper/xcontent/DynamicTemplate.java ]	{ "modules/elasticsearch/src/main/java/org/elasticsearch/index/mapper/xcontent/DynamicTemplate.java": "modules/elasticsearch/src/main/java/org/elasticsearch/index/mapper/xcontent/XContentDynamicTemplate.java" }	[]	[]	[]	7180636df6dfe6b18bf738ee2285549ea95a8cb9	[]	[]	[]	[]
Elastic Search 7686	elasticsearch		[]	c3f3c268c8854175a7f0d4cca3ad5fb6901f6e35	9c8beb822079f0c9bdea0df983e8063c4a0f5e8f	[]	[865]	[ src/main/java/org/elasticsearch/index/query/IdsQueryParser.java ]	{ "src/main/java/org/elasticsearch/index/query/IdsQueryParser.java": "modules/elasticsearch/src/main/java/org/elasticsearch/index/query/xcontent/IdsQueryParser.java" }	[]	[]	[]	90a339ad5e4a61e750d0342be6326de46f45bedc	[]	[831]	[]	[]
Elastic Search 8125	elasticsearch		[]	61c21f9a0e148db3e450c87c4690bef173ccc821	d12ae196afd555ce942bf9476b6935267117ade5	[9005]	[6410]	[ src/main/java/org/elasticsearch/action/bulk/TransportBulkAction.java ]	{}	[]	[]	[]	c55341bf515fec6d4135cee8a6e9a7a9764da17f	[]	[]	[]	[]
Elastic Search 8438	elasticsearch		[]	3c9c9f33e2869d801026a966e22cb39ff380db8d	0c9431499671d214d2c64931779a00b50cf7e9c4	[6974]	[6118]	[ src/main/java/org/elasticsearch/search/aggregations/bucket/filter/FilterParser.java, src/main/java/org/elasticsearch/search/aggregations/bucket/filters/FiltersParser.java ]	{ "src/main/java/org/elasticsearch/search/aggregations/bucket/filter/FilterParser.java": null, "src/main/java/org/elasticsearch/search/aggregations/bucket/filters/FiltersParser.java": "src/main/java/org/elasticsearch/search/aggregations/bucket/filters/FiltersParser.java" }	[]	[]	[]	976448e3395609276446e2b8dbeddb046823aa2e	[]	[21]	[]	[]
